Internal Status,Site ID,Site Name,Longitude,Latitude,Site Type,Height Of Site,Account Name,Approved Report Date,Structural Report Comment,Overall Status,Total FPA,Total EPA,Foundation Status (Existing),Capacity Status (Existing),Structure Capacity (Existing),Epa (Existing),Bearing FOS (Existing),Capacity Status (+1 Operator/Additional),Structure Capacity (+1 Operator/Additional),Epa (+1 Operator/Additional),Bearing FOS (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Structure Capacity (+2 Operator/Additional),Epa (+2 Operator/Additional),Bearing FOS (+2 Operator/Additional),Capacity Status (Maximum),Structure Capacity (Maximum),Epa (Maximum),Bearing (Maximum),QA Status,Site Condition,Capacity Status (Existing),Leg Member Stress (Existing),Brace Member Stress (Existing),Horz Member Stress (Existing),Leg Bolt Stress (Existing),Brace Bolt Stress (Existing),Horz Bolt Stress (Existing),Wires Stress (Existing),Foundation (Existing),HDB (Existing),Capacity Status (+1 Operator/Additional),Leg Member Stress (+1 Operator/Additional),Brace Member Stress (+1 Operator/Additional),Horz Member Stress (+1 Operator/Additional),Leg Bolt Stress (+1 Operator/Additional),Brace Bolt Stress (+1 Operator/Additional),Horz Bolt Stress (+1 Operator/Additional),Wires Stress (+1 Operator/Additional),Foundation(+1 Operator/Additional),HDB (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Leg Member Stress (+2 Operator/Additional),Brace Member Stress (+2 Operator/Additional),Horz Member Stress (+2 Operator/Additional),Leg Bolt Stress (+2 Operator/Additional),Brace Bolt Stress (+2 Operator/Additional),Horz Bolt Stress (+2 Operator/Additional),Wires Stress (+2 Operator/Additional),Foundation(+2 Operator/Additional),HDB (+2 Operator/Additional),BOM Weight (Legs),BOM Weight (Brace),BOM Type,Foundation Type,Leg Steel Grade,Brace Steel Grade ,Site Risk Rating,Audit Status,Topography,Exposure,Actual Condition Risk,Site/Tower Risk Profile,Population,Wind Speed,Master Comment,Superseded Structural Reports,Pending Structural Reports,Approved Structural Reports,Site Report Received,Structural Report Created,Latest Site Audit Uploaded Date,Latest Site Drawing Set Uploaded Date, Legacy ID, Site Audit Description, Modelling Program
Status Set,6430,Vwawa Market Cap,32.9338,-9.1006,Structure-Lattice Tower,35,Helios Tanzania,29/03/2017,"V2.0_Structural Analysis_AV. Equipment added: 3no. GSM Antennas 2.25x0.58x0.1m @45/45/45m,1no. MW Dish 0.3m @24m  [RFI 30/04/17]**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 2.57x0.26x0.1 @30m az 60/190/330deg, 3no. GSM Antennas 1.35x0.17x0.08 @30m az 60/190/330deg, 1no. MW Dish 1.2m @32m az 294deg**",Red,,,Red,Amber,144,12.4,,NotSet,,,,NotSet,,,,NotSet,,,,,Green,Amber,144,141,41,86,49,29,,,138,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,275,275,,DelmecInspected,1,C,5,5,2,34,,2,0,1,22/03/2017,29/03/2017,28/03/2017,26/04/2017,,Maintenance Inspection Audit,MS Tower v6
Status Set,6431,Makambako,34.82643,-8.85329,Structure-Lattice Tower,36,Helios Tanzania,20/07/2018,V2_Structural Analysis_BLS,Amber,,,NI,Green,50,3,,Green,60,6.1,,Green,71,9.3,,NotSet,,,,,Amber,Green,28,50,27,27,30,21,,,12,Green,34,60,32,33,36,25,,,15,Green,40,71,37,38,43,29,,,18,,,,NI,355,355,,DelmecInspected,1,C,4,5,2,29,,2,0,1,21/05/2018,20/07/2018,21/06/2018,26/07/2018,,Structural Survey Audit,MS Tower v6
Status Set,6432,Nelson Mandela,31.60946,-7.96526,Structure-Lattice Tower,36,Helios Tanzania,30/07/2018,V2_Structural Analysis_PMcC.,Amber,,,Green,Green,93,4.2,,Amber,104,7.4,,Amber,114,10.6,,NotSet,,,,,Amber,Green,74,93,41,56,43,19,,3.53,13,Amber,88,104,46,67,48,23,,2.95,16,Amber,99,114,51,75,52,26,,2.64,18,,,,Raft,275,235,54,DelmecInspected,1,C,4,5,2,34,,2,0,1,22/06/2018,30/07/2018,19/07/2018,15/08/2018,,Structural Survey Audit,MS Tower v6
Status Set,6433,Reginal Block,31.62293,-7.95836,Structure-Lattice Tower,36,Helios Tanzania,26/09/2018,V2_Structural Analysis_AM,Amber,,,Green,Green,86,2.9,,Green,97,6,,Amber,110,9.2,,NotSet,,,,,Amber,Green,65,86,49,49,23,16,,4.35,12,Green,79,97,55,60,29,20,,3.55,14,Amber,90,110,63,68,36,25,,3.11,16,,,,Raft,275,235,54,DelmecInspected,1,C,4,5,2,34,,2,0,1,16/06/2018,26/09/2018,21/09/2018,14/01/2019,,Structural Survey Audit,MS Tower v6
Status Set,6434,Marumba,36.88497,-11.333,Structure-Lattice Tower,50,Helios Tanzania,9/1/2017,"V1.0_Structural Analysis_AV. Equipment added: 3no. GSM Antennas 2.25x0.58x0.1m @45/45/45m,1no. MW Dish 0.9m @34m  [RFI 27/03/17]",Green,,,NI,Green,80,12.1,,Green,89,15.3,,Green,97,18.4,,NotSet,,,,,Green,Green,73,80,52,64,49,35,,,46,Green,84,89,59,74,54,40,,,53,Green,94,97,64,83,60,43,,,60,,,,NI,275,275,,DelmecInspected,1,C,5,4,4,34,,0,0,1,6/11/2016,9/1/2017,19/12/2016,14/02/2017,,Structural Survey Audit,MS Tower v6
Status Set,6435,Kabwe_Stand,33.46652,-8.91201,Rooftop-Ballast Pole,21,Helios Tanzania,6/6/2019,,Amber,,,NI,Amber,109,2.4,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,Amber,109,,,,,,,,73,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,235,,,DelmecInspected,1,C,3,4,2,34,,1,0,1,28/07/2018,6/6/2019,12/9/2018,9/1/2019,,Structural Survey Audit,MS Tower v6
Status Set,6436,Mafinga 2,35.29773,-8.29745,Structure-Lattice Tower,36,Helios Tanzania,23/01/2018,"V2_Structural Analysis_PMCC. 	**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 1.42x0.33x0.08 @29m az 5/130/240deg**Equipment added: 3no. GSM Antennas 2.636x0.262x0.15 @29m,3no. RRUs 0.4x0.3x0.1 @29m, [RFI 19/02/2020]",Green,,,Green,Green,58,9.1,,NotSet,,,,NotSet,,,,NotSet,,,,,Green,Green,43,58,32,49,38,39,,4.83,45,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,Raft,355,355,55,DelmecInspected,1,C,5,5,2,29,,2,0,1,4/12/2017,23/01/2018,19/01/2018,7/2/2018,,Structural Survey Audit,MS Tower v6
Status Set,6437,23 Ihemi 72,35.51455,-7.99884,Structure-Lattice Tower,72,Helios Tanzania,14/01/2020,V3_Structural Analysis_NE. Members overstressed.Foundation enhancement done on site. QA Audit 08/01/2020.,Amber,,,Green,Amber,128,49.1,,Amber,135,52.3,,Amber,142,55.4,,NotSet,,,,Pass,Green,Amber,73,94,128,75,96,79,,,,Amber,79,99,135,82,101,83,,,,Amber,85,104,142,89,106,87,,3.87,NI,0,410.4,Existing +1 Operator,UpgradedPiled,355,355,,DelmecInspected,1,C,5,4,3,29,,5,0,1,8/1/2020,14/01/2020,11/9/2018,7/12/2018,,Structural Survey Audit,MS Tower v6
Status Set,6438,KS Hospital,33.4536,-8.90944,Rooftop-Ballast Pole,20,Helios Tanzania,14/05/2021,"V1.0_BTS_AM. BTS tower built on site. QA Audit 24/04/2021. Geometry slightly different, check QA Inspection before doing new analysis.Equipment added: ,1no. RRU 0.447x0.422x0.133m @Same as existing RRUm, [RFI 27/04/20]",Green,,,NI,Green,38,4.1,,Green,55,7,,NotSet,,,,NotSet,,,,Pass,Green,Green,33,38,,,34,,,,10,Green,48,55,,,49,,,,15,NotSet,,,,,,,,,,,,,RoofMounted,355,355,,DelmecInspected,1,C,5,4,2,34,,1,0,1,24/04/2021,14/05/2021,9/12/2016,23/11/2020,,Structural Survey Audit,MS Tower v6
Status Set,6439,Tunduma Posta,32.76334,-9.31124,Rooftop-Ballast Pole,10,Helios Tanzania,17/06/2019,V1.0_SA_SCEquipment added: 1no. MW Dishes 0.3m @25m [RFI 31/01/2020],Green,,,NI,Green,63,3.6,,Amber,110,7.5,,Red,156,11.4,,NotSet,,,,Pass,Green,Green,45,48,,,63,,,,32,Amber,89,84,,,110,,,,56,Red,132,123,,,156,,,,79,,,,NI,235,235,,DelmecInspected,1,C,5,5,2,34,,1,0,1,24/11/2018,17/06/2019,14/12/2018,29/01/2019,,Structural Survey Audit,MS Tower v6
Status Set,6440,Mbalizi 2,33.35199,-8.93125,Structure-Lattice Tower,36,Helios Tanzania,14/03/2017,"V3.0_Structural Analysis_SJA. Equipment added: 3no. GSM Antennas 2.25x0.58x0.1m @45/45/45m,1no. MW Dish 0.3m @28m  [RFI 23/04/17]	",Amber,,,Green,Amber,103,8.5,,Amber,113,11.7,,Amber,122,14.8,,NotSet,,,,,Green,Amber,86,103,63,66,64,41,,3.1,32,Amber,104,113,73,77,71,47,,2.66,37,Amber,113,122,82,85,77,54,,2.39,41,,7,,Raft,275,235,53,DelmecInspected,1,C,5,5,2,34,,3,0,1,21/01/2017,14/03/2017,24/02/2017,6/4/2018,,Structural Survey Audit,MS Tower v6
Status Set,6441,Kiwanja_Chunya,33.46932,-8.55481,Structure-Lattice Tower,50,Helios Tanzania,11/10/2018,"V1_Structural Analysis_EH. 	",Amber,,,NI,Green,89,2.6,,Amber,104,5.7,,Amber,123,8.9,,NotSet,,,,,Amber,Green,65,89,15,66,52,14,,,NI,Amber,85,104,18,80,69,17,,,NI,Amber,98,123,20,91,81,19,,,NI,,,,NI,355,275,,DelmecInspected,1,C,4,4,3,34,,0,0,1,18/08/2018,11/10/2018,2/10/2018,11/12/2018,,Structural Survey Audit,MS Tower v6
Status Set,6442,Songwe,33.2927,-8.9246,Structure-Lattice Tower,25,Helios Tanzania,4/2/2015,"V3.0_Delmec Site Audit_TA_No members are overstressedEquipment added: 1no. MW Dishes 0.3m @30m [RFI 17/02/2020]Equipment added: 3no. GSM Antennas 2.4x0.4x0.1 @23m,3no. RRUs 0.4x0.3x0.1 @23.4m,1no. MW Dishes 1.2m @18m [RFI 13/03/2020]Equipment added: 1no. MW Dishes 0.3m @17m [RFI 21/04/2020]Equipment added: 1no. RRUs 0.447x0.422x0.133 @Same as existing RRUm, [RFI 27/04/2020]",Green,,,NI,Green,66,8.8,,NotSet,,,,NotSet,,,,NotSet,,,,Fail,Green,Green,16,66,11,23,20,4,,,NI,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,300,300,,DelmecInspected,1,C,5,,2,34,,3,0,1,4/2/2015,4/2/2015,,,,,MS Tower v6
Status Set,6443,Kingerikiti,34.96212,-11.15447,Structure-Lattice Tower,50,Helios Tanzania,19/01/2018,Tower strengthened on site to v2.0 Delmec report. QA Audit 11/01/2018,Green,,,NI,Green,99,10.1,,Amber,124,13.3,,Amber,142,16.5,,NotSet,,,,Pass,Green,Green,99,90,62,83,95,40,,,87,Amber,124,97,74,104,103,43,,,102,Amber,142,105,84,119,111,51,,,115,,,,NI,275,275,,DelmecInspected,3,C,5,4,3,34,,2,0,1,11/1/2018,19/01/2018,26/07/2017,10/7/2017,,TSS Audit,MS Tower v6
Status Set,6445,Mwembetogwa,34.82251,-8.84927,Structure-Lattice Tower,36,Helios Tanzania,19/12/2018,"V3_Structural Analysis_LAG. 	",Amber,,,Green,Green,68,4.9,,Green,76,8,,Green,84,11.2,,NotSet,,,,,Amber,Green,52,68,30,42,33,18,,4.43,9,Green,61,76,33,50,37,20,,3.73,11,Green,69,84,37,56,41,23,,3.31,12,,,,Raft,355,275,53,DelmecInspected,1,C,4,4,2,29,,3,0,1,30/10/2018,19/12/2018,5/12/2018,19/02/2019,,Structural Survey Audit,MS Tower v6
Status Set,6447,Makambako_CAP (Makambako Mwembe),34.82518,-8.84708,Structure-Lattice Tower,36,Helios Tanzania,30/06/2016,V1.0_First Analysis_CB,Green,,,Green,Green,57,2.9,,Green,67,6.1,,Green,75,9.3,,NotSet,,,,,Green,Green,53,57,49,44,41,31,,3.56,15,Green,63,67,57,53,51,38,,2.99,19,Green,70,75,64,59,59,44,,2.68,21,,,,Raft,S275,S275,55,DelmecInspected,1,C,5,5,2,29,,0,0,1,21/04/2016,30/06/2016,28/04/2016,24/08/2016,,Structural Survey Audit,MS Tower v6
Status Set,6448,Itezi,33.54053,-8.89214,Structure-Lattice Tower,30,Helios Tanzania,13/09/2018,"V2_Structural Analysis_AK. 	Equipment added: 3no.GSM Antennas 2.769x0.429x0.196 Azi 0/120/240 @27/27/27m, 12 no. RRUs 0.4x0.3x0.1@ 32m, 1no. MW Dish 1.2 @25m[RFI 19 /08/21",Amber,,,NI,Green,72,10.1,,Green,88,13.3,,Green,100,16.4,,NotSet,,,,,Amber,Green,72,65,16,43,,,,,65,Green,88,75,22,53,,,,,82,Green,100,94,27,60,34,23,,,95,,,,NI,235,235,,DelmecInspected,1,B,4,5,2,34,,1,0,1,11/9/2018,13/09/2018,11/9/2018,3/10/2018,,Structural Survey Audit,MS Tower v6
Status Set,6449,Vwawa_Mbimba,32.95947,-9.10396,Structure-Lattice Tower,35.1,Helios Tanzania,7/11/2018,"V1_Structural Analysis_BLS. 	",Green,,,Green,Green,72,2.6,,Green,88,5.8,,Amber,104,8.9,,NotSet,,,,,Green,Green,50,72,7,49,43,9,,3.59,NI,Green,64,88,9,61,57,11,,2.89,NI,Amber,74,104,11,71,69,13,,2.51,NI,,,,Raft,355,275,53,DelmecInspected,1,C,5,5,4,34,,0,0,1,14/09/2018,7/11/2018,8/10/2018,16/01/2019,,Structural Survey Audit,MS Tower v6
Status Set,6451,Njombe_Airport,34.77014,-9.35163,Rooftop-Ballast Pole,5.82,Helios Tanzania,5/6/2019,"V1.0_SA_SC**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 1.42x0.33x0.08 @13m az 10/145/270deg, 1no. MW Dish 0.6m @14m az238deg**Equipment added: 3no. GSM Antennas 2.712x0.262x0.15 @13m,3no. RRUs 0.4x0.3x0.1 @13m,1no. MW Dishes 0.6m @10m [RFI 19/02/2020]",Amber,,,NI,Amber,149,3.4,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,Amber,116,149,,,117,,,,65,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,235,235,,DelmecInspected,1,C,3,5,2,29,,2,0,1,26/06/2018,5/6/2019,2/8/2018,3/12/2018,,Structural Survey Audit,MS Tower v6
Status Set,6452,Mbinga2,35.00679,-10.94594,Structure-Lattice Tower,35.1,Helios Tanzania,23/07/2018,V2_Structural Analysis_PG. Members overstressed,Amber,,,GreenAssumed,Amber,115,8.1,,Amber,135,11.3,,Red,151,14.4,,NotSet,,,,,Green,Amber,115,104,30,102,37,26,,2.37,NI,Amber,135,119,35,131,42,31,,2.04,NI,Red,151,142,40,131,51,35,,1.83,NI,0,495.8,Existing,Raft,235,235,45,DelmecInspected,1,C,5,5,2,34,,1,0,1,21/05/2018,23/07/2018,20/06/2018,14/08/2018,,Structural Survey Audit,MS Tower v6
Status Set,6453,Songwe,34.25599,-8.59222,Structure-Lattice Tower,50,Helios Tanzania,8/2/2018,V1.0_Structural Analysis_CB,Green,,,Green,Green,97,4.8,,Amber,116,8,,Amber,131,11.1,,NotSet,,,,,Green,Green,97,83,14,58,46,11,,2.97,52,Amber,116,93,16,69,62,13,,2.51,63,Amber,131,109,18,78,75,15,,2.23,72,,,,Raft,275,275,57,DelmecInspected,1,C,5,4,5,34,Foundation Details updated to as-built Drawings - 08/02/18,0,0,1,19/04/2016,8/2/2018,24/04/2016,30/11/2017,,Structural Survey Audit,MS Tower v6
Status Set,6455,Ushirika Mbeya,33.66212,-9.33191,Structure-Lattice Tower,50,Helios Tanzania,7/11/2018,"V2_Structural Analysis_DK. Members overstressed.	",Red,,,NI,Red,162,7.8,,Red,173,11,,Red,185,14.1,,NotSet,,,,,Green,Red,69,162,34,55,38,13,,,60,Red,76,173,38,61,45,16,,,67,Red,84,185,42,67,51,17,,,74,,2637.5,Existing,NI,355,355,,DelmecInspected,2,C,5,4,3,34,,1,0,1,4/10/2018,7/11/2018,19/10/2018,6/2/2019,,Structural Survey Audit,MS Tower v6
Status Set,6456,Itungi,33.87087,-9.59453,Structure-Lattice Tower,35,Helios Tanzania,2/11/2018,"V1_Structural Analysis_EH. 	Equipment added: 3no.GSM Antennas 2.769x0.429x0.196 Azi 0/120/240 @32/32/32m, 12 no. RRUs 0.4x0.3x0.1@ 32m, 1no. MW Dish 1.2 @30m[RFI 21/08/21]",Green,,,Green,Amber,118,11.6,,NotSet,,,,NotSet,,,,NotSet,,,,,Green,Amber,104,118,34,67,75,29,,2.11,NI,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,Raft,355,275,45,DelmecInspected,1,C,5,4,1,34,,0,0,1,4/9/2018,2/11/2018,15/10/2018,17/01/2019,,Structural Survey Audit,MS Tower v6
Status Set,6458,idodi,35.1708,-7.66496,Structure-Lattice Tower,60,Helios Tanzania,3/10/2017,"V1_Structural Analysis_E.C. 	Equipment added: 3no. GSM Antennas 2.25x0.58x0.1m @48/48/48m,1no. MW Dish 0.9m @30m  [RFI 29.01.18]",Amber,,,NI,Green,60,10.4,,Green,75,13.6,,Green,80,16.6,,NotSet,,,,,Amber,Green,60,53,24,48,40,19,,,31,Green,75,59,26,57,45,20,,,36,Green,80,65,30,63,52,23,,,41,,,,NI,275,275,,DelmecInspected,1,C,2,4,3,29,,0,0,1,2/9/2017,3/10/2017,28/09/2017,20/10/2017,,Structural Survey Audit,MS Tower v6
Status Set,6459,Lwanjolo,33.57085,-8.72886,Structure-Lattice Tower,50,Helios Tanzania,4/10/2018,"V1_Structural Analysis_S.H.. Members overstressed.	",Red,,,NI,Red,167,3.4,,Red,218,6.6,,Red,255,9.7,,NotSet,,,,,Green,Red,165,167,27,121,95,25,,,NI,Red,218,189,33,148,125,30,,,NI,Red,255,233,37,170,154,35,,,NI,2678.9,1558.7,Existing,NI,355,275,,DelmecInspected,2,C,5,3,4,34,,0,0,1,30/08/2018,4/10/2018,2/10/2018,6/11/2018,,Structural Survey Audit,MS Tower v6
Status Set,6461,Changarawe_2,35.26918,-8.31805,Structure-Lattice Tower,35,Helios Tanzania,8/4/2016,v1.0_Structural analysis_GF_No members are overtressed,Green,,,Green,Green,,6.5,,Green,,9.7,,Green,95,12.9,,NotSet,,,,,Green,Green,,,,,,,,,,Green,,,,,,,,,,Green,35,95,10,22,19,7,,,12,,,,NI,,,,DelmecInspected,1,C,5,5,2,29,,0,0,1,11/3/2016,8/4/2016,13/03/2016,6/4/2018,,Structural Survey Audit,MS Tower v6
Status Set,6462,Sabasaba,33.44271,-8.90149,Structure-Lattice Tower,34.8,Helios Tanzania,6/11/2018,V2_Structural Analysis_DS. ,Amber,,,Green,Green,68,5.9,,Green,83,9,,Green,100,12.2,,NotSet,,,,,Amber,Green,63,68,20,41,24,17,,5.2,73,Green,76,83,24,49,30,21,,4.31,91,Green,86,100,29,56,36,25,,3.79,NI,,,,Raft,355,275,56,DelmecInspected,1,B,4,5,2,34,,1,0,1,1/11/2018,6/11/2018,1/11/2018,15/03/2019,,Structural Survey Audit,MS Tower v6
Status Set,6463,Kalobe,33.4083,-8.91553,Structure-Lattice Tower,50,Helios Tanzania,26/04/2016,v1.0_Structural Analysis_GF_Strengthen sections 1 to 6 Legs and sections 2 and 7 Bracings(Equipment added: 1no. 0.6m MW Dish and 3 no. 2.25 m GSM Antennas RFI 03/08/2017),Amber,,,NI,Amber,133,6.6,,Red,168,9.7,,Red,190,12.9,,NotSet,,,,,Green,Amber,133,106,18,76,70,14,,,68,Red,168,136,21,91,90,17,,,82,Red,190,157,23,103,104,19,,,93,,,,NI,275,275,,DelmecInspected,1,C,5,4,1,34,,0,0,1,25/03/2016,26/04/2016,29/03/2016,5/7/2016,,Structural Survey Audit,MS Tower v6
Status Set,6467,Mafinga_Town_2 (Boma Mafinga),35.27587,-8.2975,Structure-Lattice Tower,38,Helios Tanzania,4/4/2016,"v1.0_(Structural Analysis)_JK_No members overstressedEquipment added: 3no.GSM Antennas 2.769x0.429x0.196 Azi 0/120/240 @35/335/35m, 12 no. RRUs 0.4x0.3x0.1@ 35m, 1no. MW Dish 1.2 @33m[RFI 19/08/21 ",Amber,,,NI,Green,98,12.9,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,Green,39,98,11,25,19,5,,,13,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,DelmecInspected,1,C,4,5,2,29,,0,0,1,12/3/2016,4/4/2016,13/03/2016,26/05/2016,,Structural Survey Audit,MS Tower v6
Status Set,6468,Kinyanambo_2 (Ifingo),35.32831,-8.25811,Structure-Lattice Tower,49.56,Helios Tanzania,1/4/2016,V1.0_Structural Analysis_MM_No Overstressed members,Amber,,,NI,Green,,4.9,,Green,,8.1,,Green,100,11.3,,NotSet,,,,,Amber,Green,,,,,,,,,,Green,,,,,,,,,,Green,62,100,17,36,30,7,,,19,,,,NI,275,235,,DelmecInspected,1,C,4,4,3,29,,0,0,1,9/3/2016,1/4/2016,12/3/2016,13/05/2016,,Structural Survey Audit,MS Tower v6
Status Set,6489,Uzunguni_Mbeya,33.4434,-8.88744,Structure-Lattice Tower,35,Helios Tanzania,14/04/2016,"v1.0_Structural Analysis_GF_Strengthen section 1 Legs and section 5 Bracings**RFI from ""Inventory Database for Q4"" Added: 3no. GSM Antennas 2.5x0.4x0.2 @29.3m, 6no. RRUs 0.4x0.3x0.1m @28m**Equipment added:  1no. MW Dish 0.3 @28m [RFI 25/03/20]",Amber,,,NI,Green,99,7.2,,Amber,122,10.5,,NotSet,,,,NotSet,,,,,Amber,Green,99,99,30,68,35,26,,,52,Amber,111,122,37,77,44,31,,,59,NotSet,,,,,,,,,,,,,NI,275,275,,DelmecInspected,1,C,4,5,2,34,,0,0,1,21/03/2016,14/04/2016,27/03/2016,15/02/2017,,Structural Survey Audit,MS Tower v6
Status Set,6490,Tukuyu_Center,33.6687,-9.2724,Structure-Lattice Tower,35,Helios Tanzania,2/6/2016,V1.0_Structural_Analysis_JG_No Members are Overstressed,Amber,,,NI,Green,53,2,,Green,62,5.1,,Green,72,8.3,,NotSet,,,,,Amber,Green,49,38,53,45,11,10,,,21,Green,62,44,61,56,16,13,,,27,Green,71,50,72,64,18,13,,,32,,,,NI,275,275,,DelmecInspected,1,C,4,5,2,34,,0,0,1,15/04/2016,2/6/2016,18/04/2016,22/06/2016,,Structural Survey Audit,MS Tower v6
Status Set,6491,Malonje_Chanji,31.6392,-7.97468,Structure-Lattice Tower,35,Helios Tanzania,28/07/2016,"V1.0_Structural Analysis_AELF**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 1.42x0.33x0.08 @31m az 60/190/300deg, 1no. MW Dish 0.6m @33m az 41deg**Equipment added: 3no. GSM Antennas 2.719x0.262x0.15 @31m,3no. RRUs 0.4x0.3x0.1 @31m,1no. MW Dishes 0.6m @28m [RFI 19/02/2020]",Green,,,NI,Green,86,12,,Green,98,15.1,,NotSet,,,,NotSet,,,,,Green,Green,31,86,9,20,14,4,,,22,Green,37,98,10,23,16,5,,,25,NotSet,,,,,,,,,,,,,NI,275,275,,DelmecInspected,1,C,5,5,2,34,,0,0,1,10/5/2016,28/07/2016,12/5/2016,3/8/2016,,Structural Survey Audit,MS Tower v6
Status Set,6494,Tosamaganga_2 (Ipamba Hospital),35.60165,-7.84302,Structure-Lattice Tower,50,Helios Tanzania,30/03/2016,V1.0_Structural Analysis_MM_No members Overstressed,Amber,,,NI,Green,,2.1,,Green,,5.3,,Green,94,8.5,,NotSet,,,,,Amber,Green,,,,,,,,,,Green,,,,,,,,,,Green,59,94,15,33,27,6,,,18,,,,NI,275,235,,DelmecInspected,1,C,4,4,3,29,,0,0,1,3/3/2016,30/03/2016,7/3/2016,13/05/2016,,Structural Survey Audit,MS Tower v6
Status Set,6495,VIKULA/IHALIMBA,35.55285,-8.31572,Structure-Lattice Tower,50,Helios Tanzania,4/1/2017,"V1_Structural Analysis_FC. 	(Equipment added: 1no. 1.2m MW Dish @48m and 4 no. 1.35x0.25x0.14m GSM Antennas @43/43/43/43 RFI 18/08/2017)Equipment added: 3no. GSM Antennas 2.4x0.4x0.1 @48m,3no. RRUs 0.4x0.3x0.1 @48.4m,1no. MW Dishes 1.2m @43m [RFI 13/03/2020]",Green,,,NI,Green,77,16,,NotSet,,,,NotSet,,,,NotSet,,,,,Green,Green,77,71,37,23,35,16,,,42,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,275,235,,DelmecInspected,1,C,5,3,1,29,,0,0,1,26/11/2016,4/1/2017,19/12/2016,2/2/2017,,Structural Survey Audit,MS Tower v6
Status Set,6496,Mshangano,35.65447,-10.61502,Structure-Lattice Tower,50,Helios Tanzania,6/7/2016,"V1_Structural_Analysis_JGEquipment added: 3no. GSM Antennas 1.933x0.261x0.146 @43m,1no. MW Dishes 0.6m @25m [RFI 11/02/2020]Equipment added: 3no. GSM Antennas 2.4x0.4x0.1 @48m,3no. RRUs 0.4x0.3x0.1 @48.4m,1no. MW Dishes 1.2m @43m [RFI 13/03/2020]Equipment added: 3no.GSM Antennas 2.769x0.429x0.196 Azi 0/120/240 @47/47/47m, 12 no. RRUs 0.4x0.3x0.1@ 47m, 1no. MW Dish 1.2 @45m[RFI 13/08/21]",Amber,,,NI,Amber,136,9.5,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,Amber,76,136,21,46,36,9,,,51,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,495.77,,NI,275,275,,DelmecInspected,1,C,2,4,1,34,,0,0,1,2/5/2016,6/7/2016,10/5/2016,6/4/2018,,Structural Survey Audit,MS Tower v6
Status Set,6497,Songea Boys,35.68093,-10.68183,Structure-Lattice Tower,50,Helios Tanzania,30/06/2016,V1.0_SA_AELF,Green,,,NI,Green,100,2,,Amber,116,5.1,,Amber,130,8.3,,NotSet,,,,,Green,Green,53,100,15,35,22,7,,,36,Amber,62,116,17,38,30,8,,,42,Amber,68,130,19,41,29,8,,,46,,218,Existing + 2 Operator,NI,S275,S275,,DelmecInspected,1,C,5,4,1,34,,0,0,1,30/04/2016,30/06/2016,9/5/2016,24/08/2016,,Structural Survey Audit,MS Tower v6
Status Set,6498,Ipogoro_2,35.70359,-7.79895,Structure-Lattice Tower,50,Helios Tanzania,15/03/2016,v1.0_(Structural Analysis)_JK_Members overstressed: Main braces in section 4 ,Amber,,,NI,Amber,110,2.3,,Amber,124,5.6,,Amber,138,8.8,,NotSet,,,,,Green,Amber,44,110,10,26,14,5,,,22,Amber,52,124,12,30,18,5,,,26,Amber,59,138,14,32,23,6,,,30,,292.03,,NI,275,235,,DelmecInspected,1,C,5,4,1,29,,0,0,1,12/2/2016,15/03/2016,14/02/2016,25/04/2016,,Structural Survey Audit,MS Tower v6
Status Set,6500,Kiponzero,35.35794,-7.97228,Structure-Lattice Tower,49.8,Helios Tanzania,11/1/2023,"V2.0_Structural Analysis_HA. Members overstressed.	Tower strengthened on site according to V2.0 - QA Audit 12/09/23",Amber,15.42643929,20.08882427,NI,Amber,145,9.4,,Red,166,13.4,,Red,184,17.3,,NotSet,,,,Pass,Green,Amber,145,69,20,92,71,12,,,NI,Red,166,76,24,106,88,14,,,NI,Red,184,83,27,117,102,15,,,NI,3346.2,50.2,E+1OP,NI,275,235,,DelmecInspected,2,C,5,4,3,29,,1,0,1,21/03/2020,11/1/2023,10/3/2016,13/05/2016,,Structural Survey Audit,MS Tower v6
