Internal Status,Site ID,Site Name,Longitude,Latitude,Site Type,Height Of Site,Account Name,Approved Report Date,Structural Report Comment,Overall Status,Total FPA,Total EPA,Foundation Status (Existing),Capacity Status (Existing),Structure Capacity (Existing),Epa (Existing),Bearing FOS (Existing),Capacity Status (+1 Operator/Additional),Structure Capacity (+1 Operator/Additional),Epa (+1 Operator/Additional),Bearing FOS (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Structure Capacity (+2 Operator/Additional),Epa (+2 Operator/Additional),Bearing FOS (+2 Operator/Additional),Capacity Status (Maximum),Structure Capacity (Maximum),Epa (Maximum),Bearing (Maximum),QA Status,Site Condition,Capacity Status (Existing),Leg Member Stress (Existing),Brace Member Stress (Existing),Horz Member Stress (Existing),Leg Bolt Stress (Existing),Brace Bolt Stress (Existing),Horz Bolt Stress (Existing),Wires Stress (Existing),Foundation (Existing),HDB (Existing),Capacity Status (+1 Operator/Additional),Leg Member Stress (+1 Operator/Additional),Brace Member Stress (+1 Operator/Additional),Horz Member Stress (+1 Operator/Additional),Leg Bolt Stress (+1 Operator/Additional),Brace Bolt Stress (+1 Operator/Additional),Horz Bolt Stress (+1 Operator/Additional),Wires Stress (+1 Operator/Additional),Foundation(+1 Operator/Additional),HDB (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Leg Member Stress (+2 Operator/Additional),Brace Member Stress (+2 Operator/Additional),Horz Member Stress (+2 Operator/Additional),Leg Bolt Stress (+2 Operator/Additional),Brace Bolt Stress (+2 Operator/Additional),Horz Bolt Stress (+2 Operator/Additional),Wires Stress (+2 Operator/Additional),Foundation(+2 Operator/Additional),HDB (+2 Operator/Additional),BOM Weight (Legs),BOM Weight (Brace),BOM Type,Foundation Type,Leg Steel Grade,Brace Steel Grade ,Site Risk Rating,Audit Status,Topography,Exposure,Actual Condition Risk,Site/Tower Risk Profile,Population,Wind Speed,Master Comment,Superseded Structural Reports,Pending Structural Reports,Approved Structural Reports,Site Report Received,Structural Report Created,Latest Site Audit Uploaded Date,Latest Site Drawing Set Uploaded Date, Legacy ID, Site Audit Description, Modelling Program
Status Set,1022,Msasani,39.28166,-6.75007,Structure-Lattice Tower,35,Helios Tanzania,17/01/2018,"V4_Structural Analysis_BP. 	Equipment added: 1no. MW Dishes 0.3m @17m [RFI 18/02/2020]",Amber,,,NI,Green,80,15.1,,Amber,111,18.2,,Amber,122,21.4,,NotSet,,,,Fail,Green,Green,78,80,5,45,33,4,,,26,Amber,111,102,6,55,39,4,,,32,Amber,122,121,7,62,44,5,,,36,,,,NI,235,235,,DelmecInspected,1,C,5,2,2,27,Poor Site Photographs,4,0,1,15/01/2018,17/01/2018,15/01/2018,30/01/2018,,Structural Survey Audit,MS Tower v6
Decommissioned,1024,Airport,39.2012,-6.86515,Structure-Lattice Tower,35,Helios Tanzania,31/07/2014,There is no need to strengthen this tower,Amber,,,NI,Green,,,,Green,87,,,NotSet,,,,NotSet,,,,,Amber,Green,,,,,,,,,,Green,87,75,2,50,37,,,,30,NotSet,,,,,,,,,,,,,NI,345,248,,Unaudited,1,C,3,5,2,27,Poor Site Photographs,1,0,1,3/1/2014,31/07/2014,,,,,MS Tower v6
Status Set,1025,Calico,39.23738,-6.84566,Structure-Lattice Tower,30,Helios Tanzania,22/02/2018,"V3_Structural Analysis_PMcC. 	Equipment added: 1no. MW Dishes 0.3m @29m [RFI 06/01/2020]",Amber,,,NI,Green,78,12.1,,Amber,103,15.3,,Amber,110,18.4,,NotSet,,,,,Amber,Green,74,78,4,39,29,4,,,23,Amber,103,93,4,48,33,4,,,28,Amber,110,105,4,54,39,4,,,32,,,,NI,235,235,,DelmecInspected,1,C,3,2,2,27,,3,0,1,9/2/2018,22/02/2018,16/02/2018,13/03/2018,,Structural Survey Audit,MS Tower v6
Status Set,1026,Hananasif,39.26089,-6.80337,Structure-Lattice Tower,35,Helios Tanzania,18/10/2018,"V2_Structural Analysis_LAG. 	",Amber,,,Green,Green,30,6.5,,Green,40,9.6,,Green,54,12.8,,NotSet,,,,,Amber,Green,26,30,3,19,17,2,,2.08,11,Green,40,40,3,26,20,2,,1.55,15,Green,47,54,3,32,25,3,,1.29,18,,,,Raft,235,235,50,DelmecInspected,1,C,3,2,2,27,,2,0,1,16/08/2018,18/10/2018,5/10/2018,29/01/2019,,Structural Survey Audit,MS Tower v6
Status Set,1027,Sido,39.21911,-6.85481,Structure-Lattice Tower,30,Helios Tanzania Intelli,14/12/2016,"V1.0_SA_JG - Members overstressed Equipment added: 3no. GSM Antennas 1.35x0.08x0.17m @27/27/27m,1no. MW Dish 0.6m @25m  [RFI 15/09/17]**RFI from ""Inventory Database for Q4"" Removed: 1no. MW Dish 0.6m @29m**",Amber,,,Green,Amber,148,19.3,,NotSet,,,,NotSet,,,,NotSet,,,,,Green,Amber,103,148,13,54,40,6,,4.37,32,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,40.3,,Piled,235,235,51,DelmecInspected,1,C,5,5,2,27,,1,0,1,9/11/2016,14/12/2016,7/4/2017,13/12/2016,,TSS Audit,MS Tower v6
Status Set,1028,Ubungo,39.21019,-6.79259,Structure-Lattice Tower,35,Helios Tanzania,31/10/2018,"V3_Structural Analysis_DS. 	**RFI from ""Inventory Database for Q4"" Removed: 1no. MW Dish 0.6m @33m, 1no. MW Dish 0.6m @33m**",Green,,,NI,Green,76,8.1,,Green,93,11.3,,Amber,115,14.5,,NotSet,,,,,Green,Green,43,76,3,31,28,3,,,18,Green,56,93,4,40,35,3,,,24,Amber,66,115,5,48,42,4,,,28,,,,NI,235,235,,DelmecInspected,1,C,5,2,2,27,,3,0,1,4/10/2018,31/10/2018,26/10/2018,26/11/2018,,Structural Survey Audit,MS Tower v6
Status Set,1029,Sinza,39.22639,-6.77897,Structure-Lattice Tower,35,Helios Tanzania,8/11/2018,"V3_Structural Analysis_BL. 	Equipment added: 3no. RRUs 0.351x0.298x0.128 @17m, [RFI 19/12/2019]Equipment added: 3no. RRUs 0.351x0.298x0.128 @19.451m, [RFI 12/02/2020]Equipment added 3no. GSM Antennas 1.11x0.259x0.135 @Same as existing antenna, 3no. RRUs 0.480x0.356x0.140m @Midpoint of  existing antenna,Near Antenna  [RFI 04/02/22]",Amber,,,NI,Green,72,11.3,,Green,82,14.5,,NotSet,,,,NotSet,,,,Fail,Amber,Green,72,66,4,43,30,4,,,25,Green,79,82,6,51,35,5,,,30,NotSet,,,,,,,,,,,,,NI,275,235,,DelmecInspected,1,C,4,2,2,27,,3,0,1,5/10/2018,8/11/2018,26/10/2018,7/1/2019,,Structural Survey Audit,MS Tower v6
Status Set,1030,Manzese,39.22754,-6.80683,Structure-Lattice Tower,35,Helios Tanzania Intelli,1/11/2018,"V1 STRUCTURAL ANALYSIS SCEquipment added: 3no. GSM Antennas 1.933x0.261x0.146 @28m,3no. RRUs 0.351x0.298x0.128 @28m, [RFI 19/12/2019]Equipment added 3no. GSM Antennas 1.5x0.445x0.13 @Same as existing antenna, 3no. RRUs 0.612x0.327x0.185m @Same as existing RRU ,Near Antenna  [RFI 04/02/22]",Green,,,NI,Green,99,17.4,,NotSet,,,,NotSet,,,,NotSet,,,,,Green,Green,75,99,6,58,46,4,,,34,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,235,235,,DelmecInspected,1,C,5,2,2,27,,1,0,1,9/10/2018,1/11/2018,22/10/2018,26/11/2018,,Structural Survey Audit,MS Tower v6
Status Set,1031,Tungi,39.30808,-6.82426,Structure-Lattice Tower,35,Helios Tanzania,17/12/2021,"V4.0_Structural Analysis_HA. 	",Amber,,,NI,Green,70,11.6,,Green,87,15.5,,Green,97,19.5,,NotSet,,,,,Amber,Green,54,70,7,39,32,3,,,23,Green,76,87,9,49,37,4,,,29,Green,85,97,10,58,41,5,,,35,,,,NI,235,275,,DelmecInspected,1,D,3,2,2,27,,4,0,1,30/09/2021,17/12/2021,11/10/2021,27/09/2018,,Special Site Inspection,MS Tower v6
Status Set,1032,University,39.20023,-6.77749,Structure-Lattice Tower,35,Helios Tanzania Intelli,21/11/2018,"V2_Structural Analysis_DK. Members overstressed.	**RFI from ""Inventory Database for Q4"" Removed: 1no. MW Dish 1.2m @23m, 1no. MW Dish 0.6m @33.2m**Equipment added: 3no. GSM Antennas 1.39x0.29x0.1 @34.5m,3no. RRUs 0.4x0.3x0.1 @34.5m, [RFI 02/03/2020]",Amber,,,Green,Amber,131,16.6,,Amber,146,19.7,,NotSet,,,,NotSet,,,,,Green,Amber,68,131,8,52,52,5,,4.9,37,Amber,76,146,50,58,58,32,,4.39,41,NotSet,,,,,,,,,,0,64.3,Existing,Raft,275,235,50,DelmecInspected,1,C,5,2,2,27,,1,0,1,11/10/2018,21/11/2018,20/11/2018,18/02/2019,,Structural Survey Audit,MS Tower v6
